"NominalBore_in","OutsideDia_mm","OutsideDia_in","5S_mm","5S_in","5_mm","5_in","10S_mm","10S_in","10_mm","10_in","20_mm","20_in","30_mm","30_in","40S_mm","40S_in","STD_mm","STD_in","40_mm","40_in","60_mm","60_in","80S_mm","80S_in","XS_mm","XS_in","80_mm","80_in","100_mm","100_in","120_mm","120_in","140_mm","140_in","160_mm","160_in","XXS_mm","XXS_in"
"½"",21.3,0.84,18,0.71,18,0.71,17.08,0.674,17.08,0.674,,,16.48,0.65,15.76,0.622,15.76,0.622,15.76,0.622,,,13.84,0.546,13.84,0.546,13.84,0.546,,,,,,,11.74,0.464,6.36,0.252
"¾"",26.7,1.05,23.4,0.92,23.4,0.92,22.48,0.884,22.48,0.884,,,21.88,0.86,20.96,0.824,20.96,0.824,20.96,0.824,,,18.88,0.742,18.88,0.742,18.88,0.742,,,,,,,15.58,0.612,11.06,0.434
"1"",33.4,1.315,30.1,1.185,30.1,1.185,27.86,1.097,27.86,1.097,,,27.6,1.087,26.64,1.049,26.64,1.049,26.64,1.049,,,24.3,0.957,24.3,0.957,24.3,0.957,,,,,,,20.7,0.815,15.22,0.599
"1¼"",42.2,1.66,38.9,1.53,38.9,1.53,36.66,1.442,36.66,1.442,,,36.26,1.426,35.08,1.38,35.08,1.38,35.08,1.38,,,32.5,1.278,32.5,1.278,32.5,1.278,,,,,,,29.5,1.16,22.8,0.896
"1½"",48.3,1.9,45,1.77,45,1.77,42.76,1.682,42.76,1.682,,,41.94,1.65,40.94,1.61,40.94,1.61,40.94,1.61,,,38.14,1.5,38.14,1.5,38.14,1.5,,,,,,,34.02,1.338,28,1.1
"2"",60.3,2.375,57,2.245,57,2.245,54.76,2.157,54.76,2.157,,,53.94,2.125,52.48,2.067,52.48,2.067,52.48,2.067,,,49.22,1.939,49.22,1.939,49.22,1.939,,,,,,,42.82,1.687,38.16,1.503
"2½"",73,2.875,68.78,2.709,68.78,2.709,66.9,2.635,66.9,2.635,,,63.44,2.499,62.68,2.469,62.68,2.469,62.68,2.469,,,58.98,2.323,58.98,2.323,58.98,2.323,,,,,,,53.94,2.125,44.96,1.771
"3"",88.9,3.5,84.68,3.334,84.68,3.334,82.8,3.26,82.8,3.26,,,79.34,3.124,77.92,3.068,77.92,3.068,77.92,3.068,,,73.66,2.9,73.66,2.9,73.66,2.9,,,,,,,66.64,2.624,58.42,2.3
"3½"",101.6,4,97.38,3.834,97.38,3.834,95.5,3.76,95.5,3.76,,,92.04,3.624,90.12,3.548,90.12,3.548,90.12,3.548,,,85.44,3.364,85.44,3.364,85.44,3.364,,,,,,,,,,
"4"",114.3,4.5,110.08,4.334,110.08,4.334,108.2,4.26,108.2,4.26,,,104.74,4.124,102.26,4.026,102.26,4.026,102.26,4.026,,,97.18,3.826,97.18,3.826,97.18,3.826,,,92.04,3.624,,,87.32,3.438,80.06,3.152
"5"",141.3,5.563,135.76,5.345,135.76,5.345,134.5,5.295,134.5,5.295,,,,,128.2,5.047,128.2,5.047,128.2,5.047,,,122.24,4.813,122.24,4.813,122.24,4.813,,,115.9,4.563,,,109.54,4.313,103.2,4.063
"6"",168.3,6.625,162.76,6.407,162.76,6.407,161.5,6.357,161.5,6.357,,,,,154.08,6.065,154.08,6.065,154.08,6.065,,,146.36,5.761,146.36,5.761,146.36,5.761,,,139.76,5.501,,,131.78,5.187,124.4,4.897
"8"",219.1,8.625,213.56,8.407,213.56,8.407,211.58,8.329,211.58,8.329,206.4,8.125,205.02,8.071,202.74,7.981,202.74,7.981,202.74,7.981,198.48,7.813,193.7,7.625,193.7,7.625,193.7,7.625,188.92,7.437,182.58,7.187,177.86,7.001,173.08,6.875,174.64,6.813
"10"",273,10.75,266.2,10.482,266.2,10.482,264.62,10.42,264.62,10.42,260.3,10.25,257.4,10.136,254.46,10.02,254.46,10.02,254.46,10.02,247.6,9.75,247.6,9.75,247.6,9.75,242.82,9.562,236.48,9.312,230.12,9.062,222.2,8.75,215.84,8.5,222.2,8.75
"12"",323.8,12.75,315.88,12.438,315.88,12.438,314.66,12.39,314.66,12.39,311.1,12.25,307.04,12.09,304.74,12,304.74,12,303.18,11.938,295.26,11.626,298.4,11.75,298.4,11.75,288.84,11.374,280.92,11.062,273,10.75,266.64,10.5,257.16,10.126,273,10.75
"14"",355.6,14,347.68,13.688,347.68,13.688,346.04,13.624,342.9,13.5,339.76,13.376,336.54,13.25,336.54,13.25,336.54,13.25,333.34,13.124,325.42,12.812,330.2,13,330.2,13,317.5,12.5,307.94,12.124,300.02,11.812,292.1,11.5,284.18,11.188,,
"16"",406.4,16,398.02,15.67,398.02,15.67,396.84,15.624,393.7,15.5,390.56,15.376,387.34,15.25,387.34,15.25,387.34,15.25,381,15,373.08,14.688,381,15,381,15,363.52,14.312,354.02,13.938,344.48,13.562,333.34,13.124,325.42,12.812,,
"18"",457,18,448.62,17.67,448.62,17.67,447.44,17.624,444.3,17.5,441.16,17.376,434.74,17.124,437.94,17.25,437.94,17.25,428.46,16.876,418.9,16.5,431.6,17,431.6,17,409.34,16.124,398.28,15.688,387.14,15.25,377.66,14.876,366.52,14.438,,
"20"",508,20,498.44,19.624,498.44,19.624,496.92,19.564,495.3,19.5,488.94,19.25,482.6,19,488.94,19.25,488.94,19.25,477.82,18.812,466.76,18.376,482.6,19,482.6,19,455.62,17.938,442.92,17.438,431.8,17,419.1,16.5,407.98,16.062,,
"22"",559,22,549.44,21.624,549.44,21.624,547.92,21.564,546.3,21.5,539.94,21.25,533.6,21,,,539.94,21.25,,,514.54,20.25,,,533.6,21,501.84,19.75,489.14,19.25,476.44,18.75,463.74,18.25,451.04,17.75,,
"24"",610,24,598.92,23.564,598.92,23.564,597.3,23.5,597.3,23.5,590.94,23.25,581.46,22.876,590.94,23.25,590.94,23.25,575.04,22.624,560.78,22.062,584.6,23,584.6,23,548.08,21.562,532.22,20.938,517.96,20.376,505.26,19.876,490.92,19.312,,
"26""",660,26,,,,,,,644.6,25.376,635,25,,,,,641.3,25.25,,,,,,,635,25,,,,,,,,,,,,
"28""",711,28,,,,,,,695.4,27.376,685.8,27,679.4,26.75,,,692.1,27.25,,,,,,,685.8,27,,,,,,,,,,,,
"30""",762,30,749.3,29.5,,,746.2,29.376,746.2,29.376,736.6,29,730.2,28.75,,,742.9,29.25,,,,,,,736.6,29,,,,,,,,,,,,
"32""",813,32,,,,,,,797,31.376,787.4,31,781,30.75,,,793.7,31.25,777.8,30.624,,,,,787.4,31,,,,,,,,,,,,
"34""",864,34,,,,,,,847.8,33.376,838.2,33,831.8,32.75,,,844.5,33.25,828.6,32.624,,,,,838.2,33,,,,,,,,,,,,
"36""",914,36,,,,,,,898.6,35.376,889,35,882.6,34.75,,,895.3,35.25,876.3,34.5,,,,,889,35,,,,,,,,,,,,
"38""",965,38,,,,,,,,,,,,,,,946.2,37.25,,,,,,,939.8,37,,,,,,,,,,,,
"40""",1016,40,,,,,,,,,,,,,,,997,39.25,,,,,,,990.6,39,,,,,,,,,,,,
"42""",1067,42,,,,,,,,,,,,,,,1047.8,41.25,,,,,,,1041.4,41,,,,,,,,,,,,
"44""",1118,44,,,,,,,,,,,,,,,1098.94,43.25,,,,,,,1092.6,43,,,,,,,,,,,,
"46""",1150,46,,,,,,,,,,,,,,,1130.94,45.25,,,,,,,1124.6,45,,,,,,,,,,,,
"48""",1219.2,48,,,,,,,,,,,,,,,1200.2,47.25,,,,,,,1193.8,47,,,,,,,,,,,,
"52""",1300,52,,,,,,,,,,,,,,,1280.94,51.25,,,,,,,1274.6,51,,,,,,,,,,,,
"54""",1371.6,54,,,,,,,,,,,,,,,1352.6,53.25,,,,,,,1346.2,53,,,,,,,,,,,,
"56""",1400,56,,,,,,,,,,,,,,,1390.47,55.25,,,,,,,1374.6,55,,,,,,,,,,,,
"60""",1524,60,,,,,,,,,,,,,,,1505,59.25,,,,,,,1498.6,59,,,,,,,,,,,,
"64""",1600,64,,,,,,,,,,,,,,,1580.94,63.25,,,,,,,1574.6,63,,,,,,,,,,,,
"66""",1676.4,66,,,,,,,,,,,,,,,1657.4,65.25,,,,,,,1651,65,,,,,,,,,,,,
"68""",1700,68,,,,,,,,,,,,,,,1680.94,67.25,,,,,,,1674.6,67,,,,,,,,,,,,
"72""",1828.8,72,,,,,,,,,,,,,,,1809.8,71.25,,,,,,,1803.4,71,,,,,,,,,,,,
"78""",1981.2,78,,,,,,,,,,,,,,,1962.2,77.25,,,,,,,1955.8,77,,,,,,,,,,,,
"80""",2000,80,,,,,,,,,,,,,,,1980.94,79.25,,,,,,,1974.6,79,,,,,,,,,,,,
"84""",2133.6,84,,,,,,,,,,,,,,,2114.6,83.25,,,,,,,2108.2,83,,,,,,,,,,,,
"90""",2286,90,,,,,,,,,,,,,,,2267,89.25,,,,,,,2260.6,89,,,,,,,,,,,,
"96""",2438.4,96,,,,,,,,,,,,,,,2419.4,95.25,,,,,,,2413,95,,,,,,,,,,,,
"102""",2590.8,102,,,,,,,,,,,,,,,2571.8,101.25,,,,,,,2565.4,101,,,,,,,,,,,,
"108""",2743.2,108,,,,,,,,,,,,,,,2724.2,107.25,,,,,,,2717.8,107,,,,,,,,,,,,
"120""",3048,120,,,,,,,,,,,,,,,3029,119.25,,,,,,,3022.6,119,,,,,,,,,,,,
"144""",3657.6,144,,,,,,,,,,,,,,,3638.6,143.25,,,,,,,3632.2,143,,,,,,,,,,,,
