OneProduct,ProductGroup,ProductCode,ProductName,LongDescription,FeatureKey,Active,URL,InternalName
BF58E0EA-3099-48D3-911A-6FFEDB3A0B00,Flow,FPD150 & FPD160,Orifice Plates and Flange Assemblies,"<p>The FPD150 range of orifice plates is available with different profiles for various applications - from clean fluids and low viscosity liquids through to dirty fluids or high viscosity liquids. They are usually supplied with a data tab welded to (or integral with) the circumference. On this tab, which is visible without removing the plate from the line, can be engraved the tag number, plate bore, line details etc.</p><p><b>Orifice plate designs:</b></p><p>»CSE Concentric Square Edge Orifice Plate for clean liquids/gases/steam</p><p>»CQC Quarter Circle Orifice Plate for viscous fluids</p><p>»CCL Conical Entrance Orifice Plate for viscous fluids</p><p>»ESE Eccentric Orifice Plate for dirty fluids</p><p>»SSE Segmental Orifice Plate for dirty fluids</p><p>The FPD160 inherits all of the choice available for the FPD150 with added drilled and tapped orifice flanges. The flanges are available in a wide range of materials, face options, pressure classes, tapping options and fasteners.</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,MeasurementOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B01,Flow,FPD170 & FPD175,Orifice Carrier Assemblies,"<p>Like the FPD150, the FPD170 Orifice Carrier is available with all of the same orifice designs (e.g. CSE, SSE, CCL etc.) but comes in a wafer style carrier with several tapping options. The FPD175 is designed to be a compact orifice and comes with all welded tappings and 3 way manifold as standard.</p><p><strong>Orifice carrier options:</strong></p><p>»Raised face and ring-joint compatible designs</p><p>»Tapping options including nipoflanges, female/male pipe connections, integrally welded manifold</p><p>»Multi-hole measurement for reduced straight run requirements</p><p>»Integral temperature measurement for FPD175</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,CarrierOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B02,Flow,FPD180,Orifice Meter Runs,"<p>The FPD180 is specified when high accuracy flow measurement of liquids, gases and steam is demanded from the orifice plate - an orifice flange assembly is welded into a welded pipe run, incorporating the upstream and downstream pipe sections required by ISO5167-1:2003.</p><p>Our standard meter runs comprise of an upstream section with 16 diameters of straight pipe and a downstream section with 8 diameters of straight pipe.</p><p>If higher accuracy is required, these assemblies can be flow calibrated.</p><p><strong>Meter run options:&nbsp;</strong></p><p>»Flanged or weld prep connections</p><p>»Raised face and ring-joint compatible designs</p><p>»Tapping options including nipoflanges, female/male pipe connections, integral manifold via kidney flanges</p><p>»Multi-hole measurement for reduced straight run requirements</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,MeterRunOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B03,Flow,FPD470,Wedge Flow Meters,"<p>The FPD470 wedge flow meter is a popular choice in oil and gas applications, especially in production fields. It has been successfully deployed in several working environments across upstream, midstream and downstream applications. For difficult fluids, it can be equipped with a pair of remote seals that effectively isolate the metered fluid from the DP transmitter without affecting accuracy while keeping the flowing fluid contained within the pipe.</p><p><strong>Wedge meter features:&nbsp;</strong></p><p>»Manufactured to McMenon's standard design, refined over decades of experience with ABB and Kent Taylor, or to the new <strong>ISO 5167-6</strong> standard</p><p>»Flanged or weld prep connections</p><p>»Flanged, pipe or chemical-tee impulse connections</p><p>»Hard coatings for abrasive applications</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,Wedge
BF58E0EA-3099-48D3-911A-6FFEDB3A0B04,Flow,FPD350,Torbar Averaging Pitot Flow Meters,"<p>The FPD350 TORBAR is a multiport self-averaging flow meter with a design based on the classical Pitot tube concept of fluid flow measurement. Since its design and launch in 1985, thousands of TORBAR flow meters have been installed into a wide variety of industries worldwide.</p><p>TORBAR is suitable for gases, liquids and steam. Some of the many typical applications include water, natural gas, flue gas, nitrogen, combustion gases, ventilation air, sea water, cooling water, crude oil, and saturated or superheated steam.</p><p><strong>TORBAR features:&nbsp;</strong></p><p>»Unique profile shape - offers high flow turndown</p><p>»One-piece outer tube - pipes up to 5000 mm (197 in.) diameter; ensures optimum strength</p><p>»Low permanent pressure loss - low energy consumption &amp; cost; reduced carbon footprint</p><p>»Suitable for wide range of pipe sizes: circular, square or rectangular section ducts of 10 to 8000 mm (0.4 to 315 in.) diameter</p><p>»Dual averaging - improved accuracy with asymmetric flow profiles</p><p>»Hot-tap versions available - enables insertion into pressurized pipes</p><p>»Optional Integral Transmitter and RTD - provides compact volumetric or mass flow metering</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,Torbar
BF58E0EA-3099-48D3-911A-6FFEDB3A0B05,Flow,FPD5XX,Compact DP Flow Meters,"<p>Each member of the Compact DP Flow meter family is supplied in two versions: one for volumetric flow and one for mass - or corrected volume-flow.</p><p><b>OriMaster</b></p><p>The original compact orifice meter, now with new features including an extended size range of DN25 to DN300 (1 to 12 in.), a removable orifice plate option (sizes DN100 to DN300; [4 to 12 in.]) And the addition of the 266 DP transmitters with PILD and TTG technology</p><p><b>WedgeMaster</b></p><p>Expanded range of compact Wedge flow meters in line sizes from DN25 to DN150 (1 to 6 in.) with the choice of integral 266 (with PILD and TTG technology) or 364 DP transmitter or the 267CS multivariable transmitter</p><p><b>PitoMaster</b></p><p>New range of compact Averaging Pitot meters in line sizes from DN 100 to DN600 (4 to 24 in.), with the choice of integral 266 (with PILD and TTG technology) or 364 DP transmitter or the 267CS multivariable transmitter</p><p><b>IOMaster</b></p><p>A new range of compact Integral Orifice meters in line sizes from DN15 to DN40 (½ to 1½ in.) with the choice of integral 266 (with PILD and TTG technology) or 364 DP transmitter or the 267CS multivariable transmitter</p>",,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,CompactMaster
BF58E0EA-3099-48D3-911A-6FFEDB3A0B06,Flow,FPD580,StackFlowMaster,<p>The FPD580 StackFlowMaster is targeted specifically at continuous emissions monitoring (CEMS) applications across most markets and industries.</p><p><strong>StackFlowMaster features:</strong></p><p>»MCERTS compliant solution with FPD583 and FPD585</p><p>»Stack diameters of 1 to 8 m (3.3 to 26.25 ft.)</p><p>»Gas solids concentrations up to 300 mg/m3</p><p>»Temperatures up to 900 °C (1652 °F) subject to material of construction</p><p>»Automatic zero and span check and purge capabilities</p><p>Applications outside this range can still be considered but require a case-by-case evaluation.</p>,,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,StackCalc
BF58E0EA-3099-48D3-911A-6FFEDB3A0B07,Flow,FPD190,Restriction Orifice Plates,"<p>FPD190 restriction orifice plates are used where there is a requirement either to reduce the line pressure or alternatively to restrict the flow rate to a certain value. The orifice bore (and plate thickness) is calculated to achieve the required restriction to the flow rate or pressure drop whilst maintaining plate integrity. A multi-restriction assembly, consisting of several plates in series, can be engineered for use where the required pressure drop cannot be achieved (or where the noise level would be too high) across a single plate.</p><p><strong>Restriction plate designs:&nbsp;</strong></p><p>»CRN concentric restriction orifice</p><p>»Multi-stage CRN restriction orifice spool</p><p>»Multi-hole restriction orifice</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,RestrictionOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B08,Flow,FPD300,Venturi Tubes,"<p>The FPD300 Classical Venturi Tube is a robust device, designed for use where low pressure-loss is required. McMenon's engineers have decades of experience in Venturi tube manufacture and our partner ABB have been manufacturing Venturi Tubes for over 100 years; their engineers were involved in the design and manufacture of some of the first Venturi tubes to be used in the UK. Venturi Tubes are available for line sizes from 50mm (2 in) and can measure a wide range of relatively clean liquids and gases. The units are designed to ISO5167-1:2003 and have a substantial overall length, being typically 5D long (D = nominal pipe size).</p><p>There are two variants, based on differing manufacturing methods:</p><p>»<strong>Machined</strong> from solid for pipe sizes DN50 to 250 (2 to 10 in)</p><p>»<strong>Fabricated</strong> from rolled plate for pipe sizes DN200 to 1200 (8 to 48 in)</p><p><strong>Venturi tube features:</strong></p><p>»Extremely low permanent pressure loss</p><p>»Wide variety of tapping options including nipoflanges, nipolets, and female/male pipe connections, all available directly from the Venturi body or from an annular ring</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,Venturi
BF58E0EA-3099-48D3-911A-6FFEDB3A0B09,Flow,FPD320,Flow Nozzles,"<p>The flow nozzle is used for high velocity flow measurement where erosion or cavitation could wear or damage an orifice plate. It does not rely on a sharp edge (which can degrade over time) for maintaining its accuracy and therefore offers excellent long-term accuracy with less wear and reduced possibility of distortion. It is often used for flow testing on steam-raising plants.</p><p>A flow nozzle can measure higher flow rates than an equivalent orifice plate at the same design differential pressure. The flow nozzle is available to 3 standards and in designs for either clamping between flanges (within the bolt circle) or for welding into the pipe.</p><p><strong>Flow nozzle options:</strong></p><p>»Venturi, ISA 1932, Long Radius, ASME PTC-6 Nozzle, or MFC-3M designs available</p><p>»Wide variety of tapping options including nipoflanges, nipolets, and female/male pipe connections</p><p>»Fully welded condensate pot and valve assemblies available</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,Nozzle
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0A,Flow,FPD140,Integral Orifice Plates,"<p>The integral orifice is a flow element capable of being close coupled with differential pressure transmitters to make a complete flow meter. It provides easy-to-install, low-cost measurement of the small flows found frequently in plant metering operations and research projects. It can be ordered with internal NPT threads or flanged pipe runs, welded both upstream and downstream of the flow restriction. The orifice assembly may be directly mounted to the transmitter or remote using optional adapter kit 155S711. </p><p>»1/2 , 1 and 1-1/2"" NPT sizes</p><p>»±0.5% accuracy</p><p>»Flanged construction</p><p>»Wide variety of standard bores</p>",,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,IntegralOrifice
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0B,Flow,A6,Glass Tube Variable Area Meters,"<p>The A6 is a low capacity variable area flow meter for both liquid and gas applications with an excellent selection of material and scale lengths. The meter features a corrosion resistant, high strength stainless steel body, quick, easy snap-in tube construction and a safety tested operator protection shield. Typical applications might include cabinet purging, utilities monitoring or sampling systems.</p><p><strong>A6 features:</strong></p><p>»Tube diameters from 1/16"" to 1/4""</p><p>»Various valve options on both the instrument inlet and outlet</p><p>»One or two inductive ring sensor alarms can be fitted to certain model variants, which enable High, Low or even High and Low flow trip points to be set and a solid state status signal transmitted</p><p>»A differential pressure regulator is available, which will maintain a constant flowrate of a liquid or gas even when there are pressure variations</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,PurgeMeter
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0C,Temp,TIN,Temperature Inset,"<p>The TIN is the standard temperature measurement inset typically installed with a connection head and thermowell. It is available as a resistance thermometer or thermocouple with varying accuracy classes materials and connection types offered.</p><p><strong>TIN features:</strong></p><p>»ABB TTH200 or TTH300 temperature transmitter with HART communication protocol</p><p>»Various hazardous area certifications</p><p>»Simplex, duplex and triplex sensors with a wide variety of termination options</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInset
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0D,Temp,TAI,Temperature Inset Assembly,"<p>The TAI is the temperature measurement inset and connection head assembly supplied with varying designs of extensions between head and inset. Offered with the same configuration options as the TIN, the TAI provides customers flexibility in both the design and hazardous area certification for the connection head.</p><p><strong>TAI features:</strong></p><p>»Various connection head designs in stainless steel, painted aluminium and cast iron</p><p>»Extension pieces including nipple unions, oil seal nipples and adjustable extensions</p><p>»Hazardous area certifications for the connection head</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInsetAssy
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0E,Temp,TAW,Temperature Inset and Thermowell Assembly,"<p>The TAW is the full temperature measurement solution comprising inset, connection head and thermowell. The TAW inherits all of the configuration available for both the TAI and TTW.</p><p><strong>TAW features:</strong></p><p>»Various connection head designs in stainless steel, painted aluminium and cast iron</p><p>»Extension pieces including nipple unions, oil seal nipples and adjustable extensions</p><p>»Hazardous area certifications for the connection head</p><p>»Thermowells in a multitude of materials and designs</p><p>»Full material traceability and extensive testing options for the thermowell</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempInsetWellAssy
BF58E0EA-3099-48D3-911A-6FFEDB3A0B0F,Temp,TTW,Thermowell,"<p>The TTW is the fully configurable thermowell, used for protecting a temperature sensing inset and enabling removal of the sensor without breaking pipeline integrity. The TTW is offered in compliance with ASME PTC 19.3, the standard thermowell stress calculation standard.</p><p><strong>TTW features:</strong></p><p>»Thermowells in a multitude of materials supported by extensive range of welding procedures</p><p>»Variety of designs including forged, flanged, Van Stone, screwed and weld-in</p><p>»Full material traceability and extensive testing options for the thermowell</p>",,TRUE,https://www.mcmenon.com/products-services/flow-measurement/,TempThermowell
BF58E0EA-3099-48D3-911A-6FFEDB3A0B10,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product17
BF58E0EA-3099-48D3-911A-6FFEDB3A0B11,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product18
BF58E0EA-3099-48D3-911A-6FFEDB3A0B12,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product19
BF58E0EA-3099-48D3-911A-6FFEDB3A0B13,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product20
BF58E0EA-3099-48D3-911A-6FFEDB3A0B14,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product21
BF58E0EA-3099-48D3-911A-6FFEDB3A0B15,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product22
BF58E0EA-3099-48D3-911A-6FFEDB3A0B16,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product23
BF58E0EA-3099-48D3-911A-6FFEDB3A0B17,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product24
BF58E0EA-3099-48D3-911A-6FFEDB3A0B18,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product25
BF58E0EA-3099-48D3-911A-6FFEDB3A0B19,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product26
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1A,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product27
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1B,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product28
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1C,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product29
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1D,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product30
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1E,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product31
BF58E0EA-3099-48D3-911A-6FFEDB3A0B1F,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product32
BF58E0EA-3099-48D3-911A-6FFEDB3A0B20,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product33
BF58E0EA-3099-48D3-911A-6FFEDB3A0B21,Flow,,,,,FALSE,https://www.mcmenon.com/products-services/flow-measurement/,Product34
