"Pressure_PaA","Temperature_K","Density_kgm3","IsentropicIndex","Viscosity_cP","ZFactor","EnglishUS","French","German","Spanish","Russian"
100000,372.75,0.5902,1.3178,0.01226,0.9848,"","","","",""
105000,374.15,0.6178,1.3175,0.0123,0.984295,"","","","",""
110000,375.45,0.6452,1.3175,0.01235,0.983798,"","","","",""
115000,376.75,0.6726,1.3171,0.01239,0.983308,"","","","",""
120000,377.95,0.6999,1.3168,0.01243,0.982826,"","","","",""
125000,379.15,0.7272,1.3166,0.01247,0.98235,"","","","",""
130000,380.25,0.7544,1.3164,0.01251,0.981881,"","","","",""
135000,381.35,0.7815,1.3162,0.01255,0.981417,"","","","",""
140000,382.45,0.8085,1.316,0.01259,0.98096,"","","","",""
145000,383.55,0.8355,1.3158,0.01262,0.980508,"","","","",""
150000,384.55,0.8624,1.3156,0.01266,0.980061,"","","","",""
155000,385.55,0.8893,1.3154,0.01269,0.979619,"","","","",""
160000,386.45,0.9161,1.3152,0.01273,0.979182,"","","","",""
165000,387.45,0.9429,1.315,0.01276,0.918749,"","","","",""
170000,388.35,0.9696,1.3148,0.01279,0.978321,"","","","",""
175000,389.25,0.9962,1.3146,0.01282,0.977897,"","","","",""
180000,390.05,1.0228,1.3145,0.01285,0.977477,"","","","",""
185000,390.95,1.0494,1.3143,0.01288,0.977061,"","","","",""
190000,391.75,1.0759,1.3141,0.01291,0.976649,"","","","",""
195000,392.55,1.1024,1.314,0.01294,0.97624,"","","","",""
200000,393.35,1.1289,1.3138,0.01296,0.975835,"","","","",""
205000,394.15,1.1553,1.3136,0.01299,0.975433,"","","","",""
210000,394.95,1.1816,1.3135,0.01302,0.975035,"","","","",""
215000,395.65,1.2079,1.3133,0.01304,0.97464,"","","","",""
220000,396.45,1.2342,1.3132,0.01307,0.974248,"","","","",""
225000,397.15,1.2605,1.33,0.01309,0.973859,"","","","",""
230000,397.85,1.2867,1.3129,0.01312,0.973473,"","","","",""
235000,398.55,1.3129,1.3127,0.01314,0.973089,"","","","",""
240000,399.25,1.339,1.3126,0.01317,0.972709,"","","","",""
245000,399.95,1.3651,1.3124,0.01319,0.972331,"","","","",""
250000,400.55,1.3912,1.3123,0.01321,0.971956,"","","","",""
255000,401.25,1.4173,1.3121,0.01323,0.971583,"","","","",""
260000,401.85,1.4433,1.312,0.01326,0.971213,"","","","",""
265000,402.55,1.4693,1.3119,0.01328,0.970845,"","","","",""
270000,403.15,1.4953,1.3117,0.0133,0.97048,"","","","",""
275000,403.75,1.5215,1.3116,0.01332,0.970116,"","","","",""
280000,404.35,1.5471,1.3115,0.01334,0.969755,"","","","",""
285000,404.95,1.573,1.3113,0.01336,0.969397,"","","","",""
290000,405.55,1.5989,1.3112,0.01338,0.96904,"","","","",""
295000,406.15,1.6247,1.3111,0.0134,0.968685,"","","","",""
300000,406.75,1.6505,1.3109,0.01342,0.968333,"","","","",""
305000,407.25,1.6763,1.3108,0.01344,0.967982,"","","","",""
310000,407.85,1.7021,1.3107,0.01346,0.967634,"","","","",""
315000,408.35,1.7278,1.3106,0.01348,0.967287,"","","","",""
320000,408.95,1.7536,1.3104,0.0135,0.966942,"","","","",""
325000,409.45,1.7793,1.3103,0.01352,0.966599,"","","","",""
330000,409.95,1.8049,1.3102,0.01354,0.966258,"","","","",""
335000,410.55,1.8306,1.3101,0.01355,0.965919,"","","","",""
340000,411.05,1.8562,1.31,0.01357,0.965581,"","","","",""
345000,411.55,1.8818,1.3098,0.01359,0.965245,"","","","",""
350000,412.05,1.9074,1.3097,0.01362,0.964911,"","","","",""
355000,412.55,1.933,1.3096,0.01364,0.964578,"","","","",""
360000,413.05,1.9586,1.3095,0.01366,0.964247,"","","","",""
365000,413.55,1.9841,1.3094,0.01368,0.963917,"","","","",""
370000,414.05,2.0096,1.3093,0.01369,0.963589,"","","","",""
375000,414.45,2.0351,1.3092,0.01371,0.963263,"","","","",""
380000,414.95,2.0606,1.3091,0.01372,0.962938,"","","","",""
385000,415.45,2.0861,1.309,0.01374,0.962614,"","","","",""
390000,415.85,2.1115,1.3088,0.01376,0.962292,"","","","",""
395000,416.35,2.137,1.3087,0.01377,0.961971,"","","","",""
400000,416.75,2.1624,1.3086,0.01379,0.961652,"","","","",""
405000,417.25,2.1878,1.3085,0.0138,0.961334,"","","","",""
410000,417.65,2.2132,1.3084,0.01382,0.961017,"","","","",""
415000,418.15,2.2385,1.3083,0.01383,0.960702,"","","","",""
420000,418.55,2.2639,1.3082,0.01383,0.960388,"","","","",""
425000,418.95,2.2892,1.3081,0.01385,0.960075,"","","","",""
430000,419.45,2.3145,1.308,0.01386,0.959764,"","","","",""
435000,419.85,2.3399,1.3079,0.01388,0.959454,"","","","",""
440000,420.25,2.3651,1.3078,0.01389,0.959145,"","","","",""
445000,420.65,2.3904,1.3077,0.01391,0.958837,"","","","",""
450000,421.05,2.4157,1.3076,0.01392,0.95853,"","","","",""
455000,421.45,2.4409,1.3075,0.01393,0.958225,"","","","",""
460000,421.95,2.4662,1.3074,0.01395,0.95792,"","","","",""
465000,422.35,2.4914,1.3073,0.01396,0.957617,"","","","",""
470000,422.75,2.5166,1.3072,0.01398,0.957315,"","","","",""
475000,423.05,2.5418,1.3071,0.01399,0.957014,"","","","",""
480000,423.45,2.567,1.3071,0.014,0.956714,"","","","",""
485000,423.85,2.5922,1.307,1502,0.956415,"","","","",""
490000,424.25,2.6174,1.3069,0.01403,0.956118,"","","","",""
495000,424.65,2.6425,1.3068,0.01404,0.955821,"","","","",""
500000,425.05,2.6677,1.3067,0.01406,0.955525,"","","","",""
505000,425.35,2.6928,1.3066,0.01406,0.95523,"","","","",""
510000,425.75,2.7179,1.3065,0.01408,0.954937,"","","","",""
515000,426.15,2.743,1.3064,0.01409,0.954644,"","","","",""
520000,426.55,2.7681,1.3063,0.01411,0.954352,"","","","",""
525000,426.85,2.7932,1.3062,0.01412,0.954061,"","","","",""
530000,427.25,2.8183,1.3062,0.01413,0.953772,"","","","",""
535000,427.55,2.8433,1.3061,0.01414,0.953483,"","","","",""
540000,427.95,2.8684,1.306,0.01416,0.953195,"","","","",""
545000,428.25,2.8934,1.3059,0.01417,0.952908,"","","","",""
550000,428.65,2.9185,1.3058,0.01418,0.952622,"","","","",""
555000,428.95,2.9435,1.3057,0.01419,0.952336,"","","","",""
560000,429.35,2.9685,1.3056,0.0142,0.952052,"","","","",""
565000,429.65,2.9935,1.3056,0.01422,0.951768,"","","","",""
570000,430.05,3.0185,1.3055,0.01423,0.951486,"","","","",""
575000,430.35,3.0435,1.3054,0.01424,0.951204,"","","","",""
580000,430.65,3.0685,1.3053,0.01425,0.950923,"","","","",""
585000,431.05,3.0935,1.3052,0.01426,0.950643,"","","","",""
590000,431.35,3.1184,1.3051,0.01427,0.950364,"","","","",""
595000,431.65,3.1434,1.3051,0.01429,0.950085,"","","","",""
600000,432.05,3.1683,1.305,0.0143,0.949807,"","","","",""
605000,432.35,3.1932,1.3049,0.01431,0.949531,"","","","",""
610000,432.65,3.2182,1.3048,0.01432,0.949254,"","","","",""
615000,432.95,3.2431,1.3047,0.01433,0.948979,"","","","",""
620000,433.25,3.268,1.3047,0.01434,0.948705,"","","","",""
625000,433.65,3.2929,1.3046,0.01435,0.948431,"","","","",""
630000,433.95,3.3178,1.3045,0.01436,0.948158,"","","","",""
635000,434.25,3.3427,1.3044,0.01437,0.947885,"","","","",""
640000,434.55,3.3676,1.3043,0.01438,0.947614,"","","","",""
645000,434.85,3.3924,1.3043,0.01439,0.947343,"","","","",""
650000,435.15,3.4173,1.3042,0.01441,0.947073,"","","","",""
655000,435.45,3.4422,1.3041,0.01442,0.946804,"","","","",""
660000,435.75,3.467,1.304,0.01443,0.946535,"","","","",""
665000,436.05,3.4918,1.304,0.01444,0.946267,"","","","",""
670000,436.35,3.5167,1.3039,0.01445,0.946,"","","","",""
675000,436.65,3.5415,1.3038,0.01446,0.945733,"","","","",""
680000,436.95,3.5663,1.3037,0.01447,0.945467,"","","","",""
685000,437.25,3.5911,1.3037,0.01448,0.945202,"","","","",""
690000,437.55,3.616,1.3036,0.01449,0.944937,"","","","",""
695000,437.85,3.6408,1.3035,0.0145,0.944673,"","","","",""
700000,438.15,3.6656,1.3035,0.01451,0.9441,"","","","",""
705000,438.45,3.6903,1.3034,0.01452,0.944147,"","","","",""
710000,438.75,3.7151,1.3033,0.01453,0.943885,"","","","",""
715000,438.95,3.7399,1.3032,0.01454,0.943624,"","","","",""
720000,439.25,3.7647,1.3032,0.01455,0.943363,"","","","",""
725000,439.55,3.7894,1.3031,0.01456,0.943103,"","","","",""
730000,439.85,3.8142,1.303,0.01457,0.942844,"","","","",""
735000,440.15,3.839,1.303,0.01458,0.942585,"","","","",""
740000,440.35,3.8637,1.3029,0.01459,0.942327,"","","","",""
745000,440.65,3.8884,1.3028,0.01459,0.942069,"","","","",""
750000,440.95,3.9132,1.3027,0.0146,0.941812,"","","","",""
755000,441.25,3.9379,1.3027,0.01461,0.941555,"","","","",""
760000,441.45,3.9626,1.3026,0.01462,0.941299,"","","","",""
765000,441.75,3.9874,1.3025,0.01463,0.941044,"","","","",""
770000,442.05,4.0121,1.3025,0.01464,0.940789,"","","","",""
775000,442.25,4.0368,1.3024,0.01465,0.940535,"","","","",""
780000,442.55,4.0615,1.3023,0.01466,0.940282,"","","","",""
785000,442.85,4.0862,1.3023,0.01467,0.940028,"","","","",""
790000,443.05,4.1109,1.3022,0.01468,0.939776,"","","","",""
795000,443.35,4.1356,1.3021,0.01469,0.939524,"","","","",""
800000,443.55,4.1603,1.3021,0.0147,0.939273,"","","","",""
805000,443.85,4.1849,1.302,0.0147,0.939022,"","","","",""
810000,444.15,4.2096,1.3019,0.01471,0.938771,"","","","",""
815000,444.35,4.2343,1.3019,0.01472,0.938522,"","","","",""
820000,444.65,4.259,1.3018,0.01473,0.938272,"","","","",""
825000,444.85,4.2836,1.3017,0.01474,0.938024,"","","","",""
830000,445.15,4.3083,1.3017,0.01475,0.937775,"","","","",""
835000,445.35,4.3329,1.3016,0.01476,0.937528,"","","","",""
840000,445.65,4.3576,1.3016,0.01477,0.937281,"","","","",""
845000,445.85,4.3822,1.3015,0.01477,0.937034,"","","","",""
850000,446.15,4.4069,1.3014,0.01478,0.936788,"","","","",""
855000,446.35,4.4315,1.3014,0.01479,0.936542,"","","","",""
860000,446.65,4.4561,1.3013,0.0148,0.936297,"","","","",""
865000,446.85,4.4808,1.3012,0.01481,0.936052,"","","","",""
870000,447.15,4.5054,1.3012,0.01482,0.935808,"","","","",""
875000,447.35,4.553,1.3011,0.01482,0.935564,"","","","",""
880000,447.55,4.5546,1.3011,0.01483,0.935321,"","","","",""
885000,447.85,4.5793,1.301,0.01484,0.935078,"","","","",""
890000,448.05,4.6039,1.3009,0.01485,0.934836,"","","","",""
895000,448.35,4.6285,1.3009,0.01486,0.934594,"","","","",""
900000,448.55,4.6531,1.3008,0.01487,0.934353,"","","","",""
905000,448.75,4.6777,1.3008,0.01487,0.934112,"","","","",""
910000,449.05,4.7023,1.3007,0.01488,0.933871,"","","","",""
915000,449.25,4.7269,1.3006,0.01489,0.933631,"","","","",""
920000,449.45,4.7515,1.3006,0.0149,0.933392,"","","","",""
925000,449.75,4.776,1.3005,0.01491,933153,"","","","",""
930000,449.95,4.8006,1.3005,0.01491,0.92914,"","","","",""
935000,450.15,4.8252,1.3004,0.01492,0.932676,"","","","",""
940000,450.35,4.8498,1.3003,0.01493,0.932438,"","","","",""
945000,450.65,4.8744,1.3003,0.01494,932201,"","","","",""
950000,450.85,4.8989,1.3002,0.01495,0.931964,"","","","",""
955000,451.05,4.9235,1.3002,0.01495,0.931727,"","","","",""
960000,451.35,4.9481,1.3001,0.01496,0.931491,"","","","",""
965000,451.55,4.9726,1.3,0.01497,0.931256,"","","","",""
970000,451.75,4.9972,1.3,0.01498,0.93102,"","","","",""
975000,451.95,5.0217,1.2999,0.01498,0.930786,"","","","",""
980000,452.15,5.0463,1.2999,0.01499,0.930551,"","","","",""
985000,452.45,5.0708,1.2998,0.015,0.930317,"","","","",""
990000,452.65,5.0954,1.2998,0.01501,0.930084,"","","","",""
995000,452.85,5.1199,1.2997,0.01501,0.929851,"","","","",""
1000000,453.05,5.1445,1.2997,0.01502,0.929618,"","","","",""
1010000,453.45,5.1936,1.2995,0.01504,0.929154,"","","","",""
1020000,453.95,5.2426,1.2994,0.01505,0.928691,"","","","",""
1030000,454.35,5.2917,1.2993,0.01507,0.92823,"","","","",""
1040000,454.75,5.3407,1.2992,0.01508,0.92777,"","","","",""
1050000,455.15,5.3898,1.2991,0.0151,0.927312,"","","","",""
1060000,455.65,5.4388,1.299,0.01511,0.926856,"","","","",""
1070000,456.05,5.4878,1.2989,0.01512,0.9264,"","","","",""
1080000,456.45,5.5369,1.2988,0.01514,0.925947,"","","","",""
1090000,456.85,5.5859,1.2987,0.01515,0.925495,"","","","",""
1100000,457.25,5.6349,1.2986,0.01517,0.925044,"","","","",""
1110000,457.65,5.6839,1.2985,0.01518,0.924594,"","","","",""
1120000,458.05,5.7329,1.2984,0.01519,0.924147,"","","","",""
1130000,458.45,5.7818,1.2983,0.01521,0.9237,"","","","",""
1140000,458.85,5.8308,1.2982,0.01522,0.923255,"","","","",""
1150000,459.25,5.8798,1.2981,0.01523,0.922811,"","","","",""
1160000,459.65,5.9288,1.298,0.01525,0.922368,"","","","",""
1170000,460.05,5.9777,1.2979,0.01526,0.921927,"","","","",""
1180000,460.35,6.0267,1.2978,0.01527,0.921487,"","","","",""
1190000,460.75,6.0756,1.2977,0.01529,0.921048,"","","","",""
1200000,461.15,6.1246,1.2976,0.0153,0.920611,"","","","",""
1210000,461.55,6.1735,1.2975,0.01531,0.920175,"","","","",""
1220000,461.85,6.2224,1.2974,0.01533,0.91974,"","","","",""
1230000,462.25,6.2714,1.2973,0.01534,0.919306,"","","","",""
1240000,462.65,6.3203,1.2972,0.01535,0.918874,"","","","",""
1250000,462.95,6.3692,1.2971,0.01536,0.918442,"","","","",""
1260000,463.35,6.4181,1.297,0.01538,0.918012,"","","","",""
1270000,463.75,6.4671,1.2969,0.01539,0.917583,"","","","",""
1280000,464.05,6.516,1.2968,0.0154,0.917156,"","","","",""
1290000,464.45,6.5649,1.2967,0.01541,0.916729,"","","","",""
1300000,464.75,6.6138,1.2966,0.01543,0.916303,"","","","",""
1310000,465.15,6.6627,1.2966,0.01544,0.915879,"","","","",""
1320000,465.45,6.7116,1.2965,0.01545,0.915456,"","","","",""
1330000,465.85,6.7605,1.2964,0.01546,0.915034,"","","","",""
1340000,466.15,6.8094,1.2963,0.01547,0.914613,"","","","",""
1350000,466.55,6.8583,1.2962,0.01549,0.914193,"","","","",""
1360000,466.85,6.9072,1.2961,0.0155,0.913774,"","","","",""
1370000,467.25,6.9561,1.296,0.01551,0.913356,"","","","",""
1380000,467.55,7.005,1.2959,0.01552,0.912939,"","","","",""
1390000,467.85,7.0539,1.2959,0.01553,0.912523,"","","","",""
1400000,468.25,7.1028,1.2958,0.01554,0.912108,"","","","",""
1410000,468.55,7.1517,1.2957,0.01556,0.911695,"","","","",""
1420000,468.85,7.2006,1.2956,0.01557,0.911282,"","","","",""
1430000,469.25,7.2495,1.2955,0.01558,0.91087,"","","","",""
1440000,469.55,7.2984,1.2954,0.01559,0.910459,"","","","",""
1450000,469.85,7.3473,1.2954,0.0156,0.910049,"","","","",""
1460000,470.15,7.3962,1.2953,0.01561,0.909641,"","","","",""
1470000,470.55,7.4451,1.2952,0.01562,0.909233,"","","","",""
1480000,470.85,7.494,1.2951,0.01563,0.908826,"","","","",""
1490000,471.15,7.5429,1.295,0.01565,0.90842,"","","","",""
1500000,471.45,7.5918,1.295,0.01566,0.908015,"","","","",""
1510000,471.75,7.6407,1.2949,0.01567,0.90761,"","","","",""
1520000,472.15,7.6896,1.2948,0.01568,0.907207,"","","","",""
1530000,472.45,7.7385,1.2947,0.01569,0.906805,"","","","",""
1540000,472.75,7.7874,1.2946,0.0157,0.906403,"","","","",""
1550000,473.05,7.8364,1.2946,0.01571,0.906003,"","","","",""
1560000,473.35,7.8853,1.2945,0.01572,0.905603,"","","","",""
1570000,473.65,7.9342,1.2944,0.01573,0.905204,"","","","",""
1580000,473.95,7.9831,1.2943,0.01574,0.904807,"","","","",""
1590000,474.25,8.032,1.2943,0.01575,0.904409,"","","","",""
1600000,474.55,8.0809,1.2942,0.01576,0.904013,"","","","",""
1610000,474.85,8.1299,1.2941,0.01577,0.903618,"","","","",""
1620000,475.15,8.1788,1.294,0.01578,0.903223,"","","","",""
1630000,475.45,8.2277,1.294,0.01579,0.90283,"","","","",""
1640000,475.75,8.2767,1.2939,0.0158,0.902437,"","","","",""
1650000,476.05,8.3256,1.2938,0.01581,0.902045,"","","","",""
1660000,476.35,8.3745,1.2937,0.01582,0.901653,"","","","",""
1670000,476.65,8.4235,1.2937,0.01583,0.901263,"","","","",""
1680000,476.95,8.4724,1.2936,0.01584,0.900873,"","","","",""
1690000,477.25,8.5214,1.2935,0.01585,0.900484,"","","","",""
1700000,477.45,8.5703,1.2935,0.01586,0.900096,"","","","",""
1710000,477.75,8.6193,1.2934,0.01587,0.899706,"","","","",""
1720000,478.05,8.6683,1.2933,0.01588,0.899322,"","","","",""
1730000,478.35,8.7172,1.2933,0.01589,0.898936,"","","","",""
1740000,478.65,8.7662,1.2932,0.0159,0.898551,"","","","",""
1750000,478.95,8.8152,1.2931,0.01591,0.898167,"","","","",""
1760000,479.15,8.8642,1.2931,0.01592,0.897784,"","","","",""
1770000,479.45,8.9131,1.293,0.01593,0.897401,"","","","",""
1780000,479.75,8.9621,1.2929,0.01594,0.897019,"","","","",""
1790000,480.05,9.0111,1.2929,0.01595,0.896637,"","","","",""
1800000,480.35,9.0601,1.2928,0.01596,0.896257,"","","","",""
1810000,480.55,9.1091,1.2927,0.01597,0.895877,"","","","",""
1820000,480.85,9.1581,1.2927,0.01598,0.895497,"","","","",""
1830000,481.15,9.2072,1.2926,0.01599,0.895119,"","","","",""
1840000,481.35,9.2562,1.2925,0.016,0.894741,"","","","",""
1850000,481.65,9.3052,1.2925,0.01601,0.894364,"","","","",""
1860000,481.95,9.3542,1.2924,0.01602,0.893988,"","","","",""
1870000,482.15,9.4033,1.2923,0.01603,0.893612,"","","","",""
1880000,482.45,9.4523,1.2923,0.01604,0.893237,"","","","",""
1890000,482.75,9.5014,1.2922,0.01605,0.892862,"","","","",""
1900000,482.95,9.5504,1.2922,0.01605,0.892489,"","","","",""
1910000,483.25,9.5995,1.2921,0.01606,0.892115,"","","","",""
1920000,483.55,9.6486,1.292,0.01607,0.891743,"","","","",""
1930000,483.75,9.6976,1.292,0.01608,0.891371,"","","","",""
1940000,484.05,9.7467,1.2919,0.01609,0.891,"","","","",""
1950000,484.25,9.7958,1.2918,0.0161,0.89063,"","","","",""
1960000,484.55,9.8449,1.2918,0.01611,0.89026,"","","","",""
1970000,484.85,9.894,1.2917,0.01612,0.889891,"","","","",""
1980000,485.05,9.9431,1.2917,0.01613,0.889522,"","","","",""
1990000,485.35,9.9922,1.2916,0.01614,0.889154,"","","","",""
2000000,485.55,10.0413,1.2916,0.01614,0.888787,"","","","",""
2010000,485.85,10.0905,1.2915,0.01615,0.88842,"","","","",""
2020000,486.05,10.1396,1.2914,0.01616,0.888054,"","","","",""
2030000,486.35,10.1887,1.2914,0.01617,0.887689,"","","","",""
2040000,486.55,10.2379,1.2913,0.01618,0.887324,"","","","",""
2050000,486.85,10.287,1.2913,0.01619,0.886959,"","","","",""
2060000,487.05,10.3362,1.2912,0.0162,0.886596,"","","","",""
2070000,487.35,10.3854,1.2912,0.01621,0.886233,"","","","",""
2080000,487.55,10.4346,1.2911,0.01621,0.88587,"","","","",""
2090000,487.85,10.4837,1.2911,0.01622,0.885508,"","","","",""
2100000,488.05,10.5329,1.291,0.01623,0.885147,"","","","",""
2110000,488.25,10.5821,1.2909,0.01624,0.884786,"","","","",""
2120000,488.55,10.6314,1.2909,0.01625,0.884426,"","","","",""
