UnitName,Active,ConvertToBar,AdjustByAtm,EnglishUS,French,German,Spanish,Russian
"mPa [A]" ,TRUE,1.00E-08,0,,,,,
"mPa [G]",TRUE,1.00E-08,1.01325,,,,,
"Pa [A]",TRUE,1.00E-05,0,,,,,
"Pa [G]",TRUE,1.00E-05,1.01325,,,,,
"kPa [A]",TRUE,0.01,0,,,,,
"kPa [G]",TRUE,0.01,1.01325,,,,,
"N/m [A]",TRUE,1.00E-05,0,,,,,
"N/m [G]",TRUE,1.00E-05,1.01325,,,,,
"kN/m [A]",TRUE,0.01,0,,,,,
"kN/m [G]",TRUE,0.01,1.01325,,,,,
"bar [A]",TRUE,1,0,,,,,
"bar [G]",TRUE,1,1.01325,,,,,
"mbar [A]",TRUE,0.001,0,,,,,
"mbar [G]",TRUE,0.001,1.01325,,,,,
"atm [A]",TRUE,1.01325,0,,,,,
"atm [G]",TRUE,1.01325,1.01325,,,,,
"lb/ft [A]",TRUE,0.000478803,0,,,,,
"lb/ft [G]",TRUE,0.000478803,1.01325,,,,,
"psi [A]",TRUE,0.068947573,0,,,,,
"psi [G]",TRUE,0.068947573,1.01325,,,,,
"in wg [A] @ 4캜",TRUE,0.002490889,0,,,,,
"in wg [G] @ 4캜",TRUE,0.002490889,1.01325,,,,,
"mm wg [A] @ 4캜",TRUE,9.81E-05,0,,,,,
"mm wg [G] @ 4캜",TRUE,9.81E-05,1.01325,,,,,
"kgf/cm [A]",TRUE,0.980665,0,,,,,
"kgf/cm [G]",TRUE,0.980665,1.01325,,,,,
